state_cL,ftype_cL,fsource_cL,fsink_cL,cL,scL,state_scL,ftype_scL,fsource_scL,fsink_scL,c,sc,empty
CA,Internal Transfer,Zone Land System,Zone Land System,Applied Water-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Industrial-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Industrial-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Industrial-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Industrial-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Surface Water Diversions-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDiversions-NM,NA,NA
UT,Outflow,Zone Surface Water,External Surface Water,Basin Outflow-UT,Exports-CO,CO,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/BasinOutflow-UT,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,NA
UT,Outflow,Zone Surface Water,External Surface Water,Basin Outflow-UT,Exports-CO,CO,Outflow,Zone Surface Water,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/BasinOutflow-UT,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,NA
UT,Outflow,Zone Surface Water,External Surface Water,Basin Outflow-UT,Exports-CO,CO,Outflow,Zone Groundwater,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/BasinOutflow-UT,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,NA
UT,Outflow,Zone Surface Water,External Surface Water,Basin Outflow-UT,Exports-CO,CO,Outflow,Zone Groundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/BasinOutflow-UT,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,NA
NM,Outflow,Zone Land System,Atmosphere,Land Surface Evapotranspiration-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LandSurfaceExapotranspiration-NM,NA,NA
WY,NA,Zone Surface Water,Atmosphere,Industrial: Natural Gas-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Industrial%3ANaturalGas-WY,NA,NA
WY,NA,Zone Groundwater,Atmosphere,Industrial: Natural Gas-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Industrial%3ANaturalGas-WY,NA,NA
CA,NA,NA,NA,Total Surface Water Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalSurfaceWaterInflow-CA,NA,NA
NM,Inflow,External Groundwater,Zone Groundwater,Groundwater Inflows-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterInflows-NM,NA,NA
CA,Outflow,Zone Surface Water,Atmosphere,Stream Evaporation-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/StreamEvaporation-CA,NA,NA
CA,Inflow,External Surface Water,Zone Surface Water,Imported Water-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ImportedWater-CA,NA,NA
NM,Inflow,Atmosphere,Zone Land System,Precipitation-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Precipitation-NM,NA,NA
CO,Outflow,Zone Surface Water,Atmosphere,Native Vegetation Consumptive Use-CO,Evapotranspiration-CA,CA,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/NativeVegetationConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,NA
CO,Outflow,Zone Groundwater,Atmosphere,Native Vegetation Consumptive Use-CO,Evapotranspiration-CA,CA,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/NativeVegetationConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,NA
WY,Internal Transfer,Zone Surface Water,Zone Land System,Industrial: Coalbed Methand Production-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Industrial%3ACoalbedMethandProduction-WY,NA,NA
WY,Internal Transfer,Zone Groundwater,Zone Land System,Industrial: Coalbed Methand Production-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Industrial%3ACoalbedMethandProduction-WY,NA,NA
CA,NA,NA,NA,Total Land System Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalLandSystemOutflow-CA,NA,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Self-Supplied Domestic-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Self-SuppliedDomestic-NMOSE,NA,NA
CA,Outflow,Zone Surface Water,External Surface Water,Stream Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/StreamOutfow-CA,NA,NA
NM,NA,NA,NA,Commercial: Incomplete Metered-NMOSE,Commercial-NMOSE,NM,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Commercial%3AIncompleteMetered-NMOSE,http://purl.org/iow/WaterBudgetingFramework/Commercial-NMOSE,NA
NM,NA,NA,NA,Commercial: Incomplete Metered-NMOSE,Commercial-NMOSE,NM,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Commercial%3AIncompleteMetered-NMOSE,http://purl.org/iow/WaterBudgetingFramework/Commercial-NMOSE,NA
NM,Internal Transfer,Zone Land System,Zone Groundwater,Recharge-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Recharge-NM,NA,NA
UT,Internal Transfer,Zone Land System,Zone Surface Water,Municipal and Industrial Return Flow-UT,Return Flow-CA,CA,Internal Transfer,Zone Land System,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialReturnFlow-UT,http://purl.org/iow/WaterBudgetingFramework/ReturnFlow-CA,NA
UT,Internal Transfer,Zone Land System,Zone Surface Water,Municipal and Industrial Return Flow-UT,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialReturnFlow-UT,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
UT,Internal Transfer,Zone Land System,Zone Surface Water,Municipal and Industrial Return Flow-UT,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialReturnFlow-UT,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
UT,Internal Transfer,Zone Land System,Zone Surface Water,Municipal and Industrial Return Flow-UT,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialReturnFlow-UT,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
NM,Outflow,Zone Surface Water,External Surface Water,Surface Water Outflows-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterOutflows-NM,NA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Public Water Supply-NMOSE,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/PublicWaterSupply-NMOSE,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Public Water Supply-NMOSE,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/PublicWaterSupply-NMOSE,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
CO,Outflow,Zone Surface Water,Atmosphere,Reservoir Evaporation-CO,Lake Evaporation-CA,CA,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/ReservoirEvaporation-CO,http://purl.org/iow/WaterBudgetingFramework/LakeEvaporation-CA,NA
NM,NA,NA,NA,Power: Unreported-NMOSE,Power-NMOSE,NM,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Power%3AUnreported-NMOSE,http://purl.org/iow/WaterBudgetingFramework/Power-NMOSE,NA
NM,NA,NA,NA,Power: Unreported-NMOSE,Power-NMOSE,NM,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Power%3AUnreported-NMOSE,http://purl.org/iow/WaterBudgetingFramework/Power-NMOSE,NA
CA,NA,NA,NA,Total Surface Water Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalSurfaceWaterOutflow-CA,NA,NA
WY,Internal Transfer,Zone Surface Water,Zone Land System,Industrial Total Use-WY,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IndustrialTotalUse-WY,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
WY,Internal Transfer,Zone Groundwater,Zone Land System,Industrial Total Use-WY,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IndustrialTotalUse-WY,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,Agricultural Potential Consumptive Use-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalPotentialConsumptiveUse-UT,NA,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Agricultural Potential Consumptive Use-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalPotentialConsumptiveUse-UT,NA,NA
NM,Outflow,Zone Surface Water,Atmosphere,Evaporation from Reservoirs-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/EvaporationFromReservoirs-NMOSE,NA,NA
CA,Internal Transfer,Zone Groundwater,Zone Land System,Groundwater Extraction-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterExtraction-CA,NA,NA
WY,NA,Zone Groundwater,Zone Land System,Industrial: Electrical Generation-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Industrial%3AElectricalGeneration-WY,NA,NA
NM,Outflow,Zone Groundwater,Atmosphere,Groundwater ET-NM,Evapotranspiration-CA,CA,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/GroundwaterET-NM,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,NA
CA,Internal Transfer,Zone Groundwater,Zone Surface Water,Lake Gain from Groundwater-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LakeGainFromGroundwater-CA,NA,NA
UT,Inflow,Atmosphere,Zone Land System,Cropland Precipitation-UT,Precipitation-WY,WY,Inflow,Atmosphere,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/CoplandPrecipitation-UT,http://purl.org/iow/WaterBudgetingFramework/Precipitation-WY,NA
UT,Inflow,Atmosphere,Zone Land System,Cropland Precipitation-UT,Precipitation-UT,UT,Inflow,Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/CoplandPrecipitation-UT,http://purl.org/iow/WaterBudgetingFramework/Precipitation-UT,NA
UT,Inflow,Atmosphere,Zone Land System,Cropland Precipitation-UT,Precipitation-NM,NM,Inflow,Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/CoplandPrecipitation-UT,http://purl.org/iow/WaterBudgetingFramework/Precipitation-NM,NA
UT,Inflow,Atmosphere,Zone Land System,Cropland Precipitation-UT,Precipitation-CO,CO,Inflow,Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/CoplandPrecipitation-UT,http://purl.org/iow/WaterBudgetingFramework/Precipitation-CO,NA
UT,Inflow,Atmosphere,Zone Land System,Cropland Precipitation-UT,Precipitation-CA,CA,Inflow,Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/CoplandPrecipitation-UT,http://purl.org/iow/WaterBudgetingFramework/Precipitation-CA,NA
UT,Inflow,External Surface Water,Zone Surface Water,Tributary Inflow-UT,Stream Inflow-CA,CA,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/TributaryInflow-UT,http://purl.org/iow/WaterBudgetingFramework/StreamInflow-CA,NA
CA,Internal Transfer,Zone Surface Water,Zone Surface Water,Surface Water Diversions-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDiversions-CA,NA,NA
WY,Outflow,Zone Surface Water,Zone Surface Water,Gaged Stream Outflow-WY,Stream Outflow-CA,CA,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/GagedStreamOutflow-WY,http://purl.org/iow/WaterBudgetingFramework/StreamOutfow-CA,NA
NM,NA,NA,NA,Land Surface Stock-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LandSurfaceStock-NM,NA,NA
WY,Internal Transfer,Zone Surface Water,Zone Land System,Industrial: Oil and Gas-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Industrial%3AOilAndGas-WY,NA,NA
WY,Internal Transfer,Zone Groundwater,Zone Land System,Industrial: Oil and Gas-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Industrial%3AOilAndGas-WY,NA,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,River Use By Wet Pasture-UT,Crop Consumptive Use-CO,CO,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/RiverUseByWetPasture-UT,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,River Use By Wet Pasture-UT,Agricultural Depletions-UT,UT,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/RiverUseByWetPasture-UT,http://purl.org/iow/WaterBudgetingFramework/AgriculturalDepletions-UT,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,River Use By Wet Pasture-UT,Agricultural Depletions-UT,UT,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/RiverUseByWetPasture-UT,http://purl.org/iow/WaterBudgetingFramework/AgriculturalDepletions-UT,NA
CO,Storage Change,NA,NA,Change in Surface Water Storage-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInSurfaceWaterStorage-CO,NA,NA
CO,Outflow,Zone Land System,Atmosphere,Crop Consumptive Use-CO,Surface Water Diversions-CA,CA,Internal Transfer,Zone Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDiversions-CA,NA
CO,Outflow,Zone Land System,Atmosphere,Crop Consumptive Use-CO,Evapotranspiration-CA,CA,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework/Evapotranspiration-CA,NA
CO,Outflow,Zone Land System,Atmosphere,Crop Consumptive Use-CO,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
CO,Outflow,Zone Surface Water,External Surface Water,Gaged Surface Water Outflow-CO,Basin Outflow-UT,UT,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/GagedSurfaceWaterOutflow-CO,http://purl.org/iow/WaterBudgetingFramework/BasinOutflow-UT,NA
NM,NA,NA,NA,Commercial: Unmetered-NMOSE,Commercial-NMOSE,NM,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Commercial%3AUnmetered-NMOSE,http://purl.org/iow/WaterBudgetingFramework/Commercial-NMOSE,NA
NM,NA,NA,NA,Commercial: Unmetered-NMOSE,Commercial-NMOSE,NM,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Commercial%3AUnmetered-NMOSE,http://purl.org/iow/WaterBudgetingFramework/Commercial-NMOSE,NA
UT,Internal Transfer,Zone Surface Water,Zone Surface Water,Surface Water Flows-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterFlows-UT,NA,NA
CA,Outflow,NA,NA,Total Groundwater System Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalGroundwaterSystemOutflow-CA,NA,NA
CA,Internal Transfer,Zone Land System,Zone Surface Water,Runoff-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Runoff-CA,NA,NA
CA,Internal Transfer,Zone Land System,Zone Surface Water,Return Flow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ReturnFlow-CA,NA,NA
CA,Storage Change,NA,NA,Change in Total System Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInTotalSystemStorage-CA,NA,NA
NM,Internal Transfer,Zone Land System,Zone Surface Water,Runoff-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Runoff-NM,NA,NA
WY,Outflow,Zone Surface Water,Atmosphere,Industrial Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IndustrialConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,Outflow,Zone Groundwater,Atmosphere,Industrial Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IndustrialConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,Outflow,Zone Surface Water,Atmosphere,Industrial Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IndustrialConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,Outflow,Zone Groundwater,Atmosphere,Industrial Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IndustrialConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,Outflow,Zone Surface Water,Atmosphere,Industrial Consumptive Use-WY,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IndustrialConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
WY,Outflow,Zone Groundwater,Atmosphere,Industrial Consumptive Use-WY,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IndustrialConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
CO,NA,External Surface Water,Zone Surface Water,Gaged Surface Water Inflow-CO,River Inflow-UT,UT,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/GagedSurfaceWaterInflow-CO,http://purl.org/iow/WaterBudgetingFramework/RiverInflow-UT,NA
CO,NA,External Surface Water,Zone Surface Water,Gaged Surface Water Inflow-CO,Basin Inflow-UT,UT,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/GagedSurfaceWaterInflow-CO,http://purl.org/iow/WaterBudgetingFramework/BasinInflow-UT,NA
CA,Internal Transfer,Zone Land System,Zone Land System,Applied Water Reuse/Recycled Water-CA,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/AppliedWaterReuse%2FRecycledWater-CA,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
NM,Outflow,Zone Groundwater,Atmosphere,Riparian Consumption-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/RiparianConsumption-NM,NA,NA
CO,Inflow,External Surface Water,Zone Surface Water,Ungaged Surface Water Inflow-CO,River Inflow-UT,UT,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/UngagedSurfaceWaterInflow-CO,http://purl.org/iow/WaterBudgetingFramework/RiverInflow-UT,NA
CA,Storage Change,NA,NA,Change in Land System Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInLandSystemStorage-CA,NA,NA
CA,Outflow,Zone Surface Water,Atmosphere,Lake Evaporation-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LakeEvaporation-CA,NA,NA
CA,Inflow,NA,NA,Total Groundwater System Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalGroundwaterSystemInflow-CA,NA,NA
WY,NA,Zone Surface Water,Atmosphere,Municipal Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,NA,Zone Groundwater,Atmosphere,Municipal Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,NA,Zone Surface Water,Atmosphere,Municipal Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,NA,Zone Groundwater,Atmosphere,Municipal Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,NA,Zone Surface Water,Atmosphere,Municipal Consumptive Use-WY,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
WY,NA,Zone Groundwater,Atmosphere,Municipal Consumptive Use-WY,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Mining-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Mining-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Mining-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Mining-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Mining-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Mining-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Mining-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Mining-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
